listing_id,room_type
921624,entire home/apt
921862,entire home/apt
923566,entire home/apt
923979,entire home/apt
924600,private room
924658,shared room
925240,entire home/apt
925730,entire home/apt
927408,private room
927987,entire home/apt
929032,private room
931642,private room
933129,entire home/apt
933861,private room
936218,private room
937678,entire home/apt
938022,private room
939657,entire home/apt
939724,private room
940115,entire home/apt
940116,private room
941179,entire home/apt
941642,entire home/apt
944040,entire home/apt
944049,entire home/apt
944755,entire home/apt
944840,entire home/apt
945297,private room
947810,private room
947963,private room
949713,entire home/apt
951365,entire home/apt
951944,entire home/apt
953951,entire home/apt
956412,entire home/apt
957002,entire home/apt
957642,private room
959478,entire home/apt
959871,private room
962045,private room
964379,entire home/apt
968848,private room
971158,private room
971247,entire home/apt
973535,entire home/apt
975229,entire home/apt
975250,private room
975965,private room
976242,entire home/apt
977870,entire home/apt
978062,entire home/apt
978386,entire home/apt
978615,private room
980098,entire home/apt
983625,entire home/apt
986727,entire home/apt
987329,private room
989976,entire home/apt
990367,entire home/apt
992508,private room
992598,private room
993040,entire home/apt
993514,entire home/apt
993575,entire home/apt
995169,entire home/apt
995187,entire home/apt
997404,entire home/apt
998423,private room
998887,entire home/apt
999248,entire home/apt
999984,entire home/apt
1001147,private room
1001447,shared room
1002469,entire home/apt
1003754,entire home/apt
1005416,shared room
1009883,entire home/apt
1010785,entire home/apt
1011449,entire home/apt
1016004,shared room
1018529,entire home/apt
1021491,entire home/apt
1023181,private room
1023529,private room
1025001,private room
1025786,private room
1027808,entire home/apt
1028263,private room
1029482,private room
1029808,entire home/apt
1030254,private room
1030392,entire home/apt
1032611,entire home/apt
1034911,entire home/apt
1036498,private room
1036734,entire home/apt
1039983,entire home/apt
1040156,entire home/apt
1041996,private room
1042416,entire home/apt
1042806,private room
1044502,entire home/apt
1044731,private room
1045491,private room
1045897,entire home/apt
1046443,private room
1048190,entire home/apt
1051575,private room
1054201,entire home/apt
1055029,private room
1056119,entire home/apt
1056185,private room
1056256,entire home/apt
1056445,entire home/apt
1056804,entire home/apt
1059891,private room
1060019,entire home/apt
1063020,entire home/apt
1063554,private room
1066769,private room
1068505,private room
1069266,entire home/apt
1070458,private room
1072212,private room
1072481,private room
1073635,entire home/apt
1073780,entire home/apt
1073832,entire home/apt
1074155,private room
1077176,entire home/apt
1077179,entire home/apt
1077375,private room
1079675,entire home/apt
1080543,entire home/apt
1080766,private room
1083888,private room
1087215,entire home/apt
1089240,private room
1089542,private room
1089619,private room
1091582,private room
1091840,private room
1092760,entire home/apt
1095106,private room
1096511,private room
1098863,entire home/apt
1100421,entire home/apt
1101035,entire home/apt
1101224,entire home/apt
1102858,entire home/apt
1102942,entire home/apt
1102963,entire home/apt
1105845,entire home/apt
1106284,entire home/apt
1107092,entire home/apt
1107976,private room
1110195,private room
1110484,entire home/apt
1112070,private room
1112407,entire home/apt
1112484,private room
1114409,entire home/apt
1114493,private room
1114788,private room
1117516,entire home/apt
1118031,private room
1121448,private room
1121497,private room
1121502,private room
1123737,private room
1124012,private room
1124329,entire home/apt
1127140,private room
1128681,private room
1129483,entire home/apt
1130138,entire home/apt
1130680,entire home/apt
1130855,private room
1131422,private room
1131804,entire home/apt
1133296,entire home/apt
1134365,entire home/apt
1137093,entire home/apt
1137587,entire home/apt
1139851,entire home/apt
1141120,entire home/apt
1142034,entire home/apt
1144861,entire home/apt
1145134,private room
1145337,private room
1146534,private room
1148144,private room
1148279,private room
1148978,private room
1150382,entire home/apt
1150398,private room
1150594,entire home/apt
1151209,entire home/apt
1151343,private room
1155475,entire home/apt
1155885,entire home/apt
1156440,entire home/apt
1156499,private room
1157522,entire home/apt
1164111,private room
1166616,private room
1167658,private room
1171566,private room
1171674,entire home/apt
1173994,entire home/apt
1175400,private room
1177971,shared room
1178231,entire home/apt
1180296,private room
1180537,entire home/apt
1182187,private room
1182844,entire home/apt
1183667,entire home/apt
1185357,private room
1185525,entire home/apt
1186153,private room
1186569,private room
1187643,private room
1189378,entire home/apt
1190223,entire home/apt
1191606,entire home/apt
1194066,entire home/apt
1195198,entire home/apt
1195260,entire home/apt
1203812,entire home/apt
1205103,entire home/apt
1209492,private room
1209887,entire home/apt
1209921,entire home/apt
1209955,private room
1210916,entire home/apt
1213991,private room
1215627,entire home/apt
1217046,entire home/apt
1217318,private room
1217670,entire home/apt
1221332,entire home/apt
1222563,entire home/apt
1223230,entire home/apt
1225060,entire home/apt
1226176,private room
1227528,entire home/apt
1231273,entire home/apt
1232212,entire home/apt
1232433,entire home/apt
1239017,entire home/apt
1241905,private room
1244117,entire home/apt
1245479,private room
1251681,entire home/apt
1255828,private room
1256536,entire home/apt
1256768,entire home/apt
1258651,entire home/apt
1262053,entire home/apt
1263964,private room
1264621,private room
1264695,entire home/apt
1266411,entire home/apt
1267945,private room
1267954,entire home/apt
1271361,private room
1275942,private room
1278784,private room
1280188,entire home/apt
1281023,private room
1284776,entire home/apt
1290336,entire home/apt
1291020,private room
1291261,entire home/apt
1291490,private room
1292428,private room
1294973,private room
1300216,entire home/apt
1300950,private room
1304459,entire home/apt
1304952,private room
1306749,entire home/apt
1307723,private room
1308308,entire home/apt
1313340,private room
1313593,entire home/apt
1313711,entire home/apt
1316480,private room
1316961,entire home/apt
1317612,private room
1320550,entire home/apt
1323349,entire home/apt
1324087,entire home/apt
1325432,private room
1325759,entire home/apt
1325911,entire home/apt
1326566,private room
1329559,private room
1330056,private room
1330775,entire home/apt
1331231,entire home/apt
1331960,entire home/apt
1332473,private room
1335036,entire home/apt
1335550,private room
1336223,entire home/apt
1336230,entire home/apt
1336390,entire home/apt
1340982,entire home/apt
1342507,entire home/apt
1342515,private room
1343532,private room
1346003,entire home/apt
1347126,private room
1347204,entire home/apt
1347478,private room
1347847,entire home/apt
1348118,entire home/apt
1349237,private room
1349658,private room
1350055,private room
1351217,entire home/apt
1352657,entire home/apt
1354042,entire home/apt
1354415,entire home/apt
1354973,private room
1356710,private room
1357021,entire home/apt
1358963,private room
1359438,entire home/apt
1360791,private room
1361017,entire home/apt
1361428,private room
1363957,entire home/apt
1365000,entire home/apt
1365028,entire home/apt
1370405,private room
1377134,private room
1378165,private room
1380326,private room
1382158,private room
1386742,private room
1390532,entire home/apt
1391024,private room
1392144,entire home/apt
1392330,entire home/apt
1396458,entire home/apt
1397705,entire home/apt
1399352,private room
1399448,entire home/apt
1402084,entire home/apt
1403129,entire home/apt
1403466,private room
1403870,entire home/apt
1404355,private room
1404510,private room
1407364,private room
1408406,entire home/apt
1410197,entire home/apt
1411583,entire home/apt
1411811,entire home/apt
1423112,private room
1426004,private room
1426529,private room
1427084,private room
1428359,entire home/apt
1428844,entire home/apt
1430650,private room
1434010,entire home/apt
1436810,entire home/apt
1438369,entire home/apt
1438870,private room
1439162,entire home/apt
1440363,entire home/apt
1442495,entire home/apt
1444400,private room
1444924,entire home/apt
1445250,private room
1446483,entire home/apt
1453049,entire home/apt
